timestamp,avg_speed,avg_wait,queue_len,action
1763109820.0,13.975365382554232,0.0,0,0
1763109825.0,14.24664821480579,0.0,0,0
1763109830.0,0.6901127538821227,622.0,136,0
1763109835.0,6.554552356263086e-07,5983.75,189,1
1763109840.0,0.0,5345.0,188,0
1763109845.0,0.5376431901288309,5282.5,154,0
1763109850.0,0.00018779203979100675,7096.25,191,0
1763109855.0,0.07852193534385499,4315.75,174,0
1763109860.0,0.03083589909664369,6011.25,180,0
1763109865.0,0.6099019621904529,6437.5,128,0
1763109870.0,0.4988431846399612,1692.0,146,0
1763109875.0,0.24782106826446737,7150.5,166,0
1763109880.0,0.4339065831255833,3188.75,151,0
1763109885.0,0.35815907173778033,7464.75,156,0
1763109890.0,0.06912519560316702,6383.0,177,0
1763109895.0,0.31417483087897397,3942.75,162,0
1763109900.0,0.32466631218875064,2536.5,146,0
1763109905.0,0.6024698657457724,3761.5,147,0
1763109910.0,0.12458304624240654,3668.0,170,0
1763109915.0,0.544905348865455,4279.0,151,0
1763109920.0,0.08900857304800955,7727.5,178,0
1763109925.0,0.061558352302137694,4257.0,179,0
1763109930.0,0.07023797311186109,4209.75,178,0
1763109935.0,6.800307246720608e-07,8073.75,187,0
1763109940.0,0.0678148736051313,4383.5,171,1
1763109945.0,0.6085311746951209,3153.75,150,1
1763109950.0,0.08881686262722532,5748.25,169,0
1763109955.0,0.0,5286.0,181,0
1763109960.0,1.3388742751516736,990.25,93,0
1763109965.0,0.0006748386902453988,3800.75,168,0
1763109970.0,0.0,4297.5,144,0
1763109975.0,0.6559008267260182,2075.5,89,0
1763109980.0,0.0,4222.25,96,1
1763109985.0,1.596608116742484,425.0,52,0
1763109990.0,0.4676724474624585,2504.75,86,0
1763109995.0,1.3991685418435202,194.75,46,0
1763110000.0,0.7885456861558977,2978.5,82,0
1763110005.0,0.9113836029548483,1408.25,75,0
1763110010.0,0.18727196877807423,1235.0,88,0
1763110015.0,1.309404453567441e-05,3077.0,96,0
1763110020.0,0.14441051215024295,2411.5,89,0
1763110025.0,0.0597830644834824,3917.25,90,0
1763110030.0,0.4241399216106561,1644.0,72,0
1763110035.0,1.104103732737314,219.0,78,0
1763110040.0,13.9,0.0,0,0
1763110045.0,13.9,0.0,0,0
1763110050.0,13.9,0.0,0,0
1763110055.0,13.9,0.0,0,0
1763110060.0,13.9,0.0,0,0
1763110065.0,13.9,0.0,0,0
1763110070.0,13.9,0.0,0,1
1763110075.0,13.9,0.0,0,0
1763110080.0,13.9,0.0,0,0
1763110085.0,13.9,0.0,0,0
1763110090.0,13.9,0.0,0,0
1763110095.0,13.9,0.0,0,0
1763110100.0,13.9,0.0,0,0
1763110105.0,13.9,0.0,0,0
1763110110.0,13.9,0.0,0,0
1763110115.0,13.9,0.0,0,0
1763110120.0,13.9,0.0,0,0
1763110125.0,13.9,0.0,0,0
1763110130.0,13.9,0.0,0,0
1763110135.0,13.9,0.0,0,0
1763110140.0,13.9,0.0,0,0
1763110145.0,13.9,0.0,0,0
1763110150.0,13.9,0.0,0,0
1763110155.0,13.9,0.0,0,0
1763110160.0,13.9,0.0,0,0
1763110165.0,13.9,0.0,0,0
1763110170.0,13.9,0.0,0,0
1763110175.0,13.9,0.0,0,0
1763110180.0,13.9,0.0,0,0
1763110185.0,13.9,0.0,0,0
1763110190.0,13.9,0.0,0,0
1763110195.0,13.9,0.0,0,1
1763110200.0,13.9,0.0,0,0
1763110205.0,13.9,0.0,0,0
1763110210.0,13.9,0.0,0,0
1763110215.0,13.9,0.0,0,0
1763110220.0,13.9,0.0,0,1
1763110225.0,13.9,0.0,0,0
1763110230.0,13.9,0.0,0,0
1763110235.0,13.9,0.0,0,0
1763110240.0,13.9,0.0,0,0
1763110245.0,13.9,0.0,0,0
1763110250.0,13.9,0.0,0,0
1763110255.0,13.9,0.0,0,0
1763110260.0,13.9,0.0,0,0
1763110265.0,13.9,0.0,0,0
1763110270.0,13.9,0.0,0,0
1763110275.0,13.9,0.0,0,0
1763110280.0,13.9,0.0,0,0
