timestamp,avg_speed,avg_wait,queue_len,action
1763109820.0,13.936115228368113,0.0,0.0,1
1763109825.0,13.823321913143197,0.0,0.0,1
1763109830.0,0.06756819689323877,2653.25,175.0,1
1763109835.0,0.08211322735167295,8166.75,171.0,1
1763109840.0,0.41084803518304,4082.25,158.0,1
1763109845.0,0.10122079232124981,3680.5,164.0,1
1763109850.0,1.0551893167089457,4031.0,147.0,1
1763109855.0,0.5089068827688853,2061.0,150.0,1
1763109860.0,0.4479047333995007,2583.0,151.0,1
1763109865.0,0.5830579297349888,2757.0,159.0,1
1763109870.0,0.0,7030.25,189.0,0
1763109875.0,0.00030033938326209025,8652.25,189.0,1
1763109880.0,0.0036082910310226823,5906.0,188.0,1
1763109885.0,0.26134957846184315,5057.0,160.0,1
1763109890.0,0.7088272145866098,856.25,123.0,1
1763109895.0,0.06604943381484499,4819.25,184.0,1
1763109900.0,0.033727166070581814,7886.75,178.0,1
1763109905.0,0.030851321788424924,8108.5,180.0,1
1763109910.0,0.02257416294586317,6900.25,183.0,1
1763109915.0,0.03221852583297454,5311.5,183.0,1
1763109920.0,0.4239972232666482,2992.25,149.0,1
1763109925.0,0.03079039860589685,6404.0,181.0,1
1763109930.0,0.5443867364942437,1953.75,158.0,1
1763109935.0,0.5988849511928407,4063.0,167.0,1
1763109940.0,0.5460038381435135,5982.75,165.0,1
1763109945.0,0.8919496085335612,4193.75,122.0,0
1763109950.0,0.16946696050231314,1256.0,144.0,1
1763109955.0,0.41603866732724876,3082.0,117.0,1
1763109960.0,0.0,7210.75,142.0,1
1763109965.0,0.026074514635450387,4407.5,124.0,1
1763109970.0,0.9603106760048301,477.0,97.0,1
1763109975.0,0.36444923919119315,3565.0,91.0,1
1763109980.0,0.7510783960049587,1579.25,65.0,1
1763109985.0,0.23524461352708406,4028.25,96.0,1
1763109990.0,0.11923014784422815,2452.75,82.0,1
1763109995.0,0.2449065125860145,2290.0,113.0,1
1763110000.0,0.08330170216033286,2253.5,80.0,1
1763110005.0,0.788646892919542,897.5,77.0,1
1763110010.0,0.0,3604.5,102.0,1
1763110015.0,0.6447735185616359,1639.0,89.0,1
1763110020.0,0.9835724893442053,282.0,82.0,1
1763110025.0,13.348032712332662,0.0,0.0,1
1763110030.0,13.9,0.0,0.0,1
1763110035.0,13.9,0.0,0.0,1
1763110040.0,13.9,0.0,0.0,1
1763110045.0,13.9,0.0,0.0,1
1763110050.0,13.9,0.0,0.0,1
1763110055.0,13.9,0.0,0.0,1
1763110060.0,13.9,0.0,0.0,1
1763110065.0,13.9,0.0,0.0,1
1763110070.0,13.9,0.0,0.0,1
1763110075.0,13.9,0.0,0.0,1
1763110080.0,13.9,0.0,0.0,1
1763110085.0,13.9,0.0,0.0,1
1763110090.0,13.9,0.0,0.0,1
1763110095.0,13.9,0.0,0.0,1
1763110100.0,13.9,0.0,0.0,1
1763110105.0,13.9,0.0,0.0,1
1763110110.0,13.9,0.0,0.0,1
1763110115.0,13.9,0.0,0.0,1
1763110120.0,13.9,0.0,0.0,1
1763110125.0,13.9,0.0,0.0,1
1763110130.0,13.9,0.0,0.0,1
1763110135.0,13.9,0.0,0.0,1
1763110140.0,13.9,0.0,0.0,1
1763110145.0,13.9,0.0,0.0,1
1763110150.0,13.9,0.0,0.0,1
1763110155.0,13.9,0.0,0.0,1
1763110160.0,13.9,0.0,0.0,1
1763110165.0,13.9,0.0,0.0,1
1763110170.0,13.9,0.0,0.0,1
1763110175.0,13.9,0.0,0.0,1
1763110180.0,13.9,0.0,0.0,1
1763110185.0,13.9,0.0,0.0,1
1763110190.0,13.9,0.0,0.0,1
1763110195.0,13.9,0.0,0.0,1
1763110200.0,13.9,0.0,0.0,1
1763110205.0,13.9,0.0,0.0,1
1763110210.0,13.9,0.0,0.0,1
1763110215.0,13.9,0.0,0.0,1
1763110220.0,13.9,0.0,0.0,1
1763110225.0,13.9,0.0,0.0,1
1763110230.0,13.9,0.0,0.0,1
1763110235.0,13.9,0.0,0.0,1
1763110240.0,13.9,0.0,0.0,1
1763110245.0,13.9,0.0,0.0,1
1763110250.0,13.9,0.0,0.0,1
1763110255.0,13.9,0.0,0.0,1
1763110260.0,13.9,0.0,0.0,1
1763110265.0,13.9,0.0,0.0,1
1763110270.0,13.9,0.0,0.0,1
1763110275.0,13.9,0.0,0.0,1
1763110280.0,13.9,0.0,0.0,1
